"","UP/DOWN","statistic","p.value","FDRp.value","path_name"
"P-hsa04210-114","UP",2.17444260629881,0.0296819833918356,0.0359247747374732,"Apoptosis: HRK"
"P-hsa04210-56","DOWN",-2.16987896132262,0.0300261889759816,0.0363179435969964,"Apoptosis: BAX"
"P-hsa04742-49","DOWN",-0.315159953061086,0.0307079188946735,0.0371185926845409,"Taste transduction: HTR1A"
"P-hsa04015-17","DOWN",-2.15565112698511,0.0311214074259246,0.037594179221529,"Rap1 signaling pathway: ACTB"
"P-hsa04151-51","DOWN",-2.14491313880586,0.0319705278944949,0.0385950516924533,"PI3K-Akt signaling pathway: NOS3"
"P-hsa04924-34","UP",2.14034949382968,0.0323373732160379,0.0390128052432714,"Renin secretion: REN"
"P-hsa04330-11","DOWN",-2.13685964767142,0.0326203309751498,0.0393288823325071,"Notch signaling pathway: PTCRA"
"P-hsa04211-39","DOWN",-2.12504786067424,0.0335938199553962,0.0404765614876835,"Longevity regulating pathway - mammal: TP53*"
"P-hsa04062-33","DOWN",-2.12477941096976,0.0336162304298991,0.0404775662942816,"Chemokine signaling pathway: WAS"
"P-hsa05205-400","UP",2.09659219199922,0.0360415848508417,0.0433701174985113,"Proteoglycans in cancer: ITGA2*"
"P-hsa04390-60","UP",2.07350551741382,0.0381377384755658,0.0458630752436933,"Hippo signaling pathway: CTGF*"
"P-hsa04723-46","UP",2.06330442864353,0.0390964599996579,0.046985880178961,"Retrograde endocannabinoid signaling: ADCY1"
"P-hsa04022-58","UP",2.06196218012113,0.0392241185537543,0.047078980426643,"cGMP-PKG signaling pathway: MYH7"
"P-hsa04022-59","UP",2.06196218012113,0.0392241185537543,0.047078980426643,"cGMP-PKG signaling pathway: NPPB"
